rank,hostname,scatter_ms,halo_ms,compute_ms,gather_ms,total_ms,idle_ms
0,Phams-MacBook-Air.local,150.972000,4974.374000,2814.296000,60794.538000,7788.682000,592.292000
1,Phams-MacBook-Air.local,0.103000,5260.489000,2794.546000,54842.644000,8055.050000,325.924000
2,Phams-MacBook-Air.local,0.100000,5696.438000,2674.492000,62803.471000,8370.943000,10.031000
3,Phams-MacBook-Air.local,0.089000,5713.401000,2667.567000,54023.213000,8380.974000,0.000000
4,MacBook-Pro-M4-Pro.local,30.925000,4019.219000,1854.621000,49526.357000,5873.845000,2507.129000
5,MacBook-Pro-M4-Pro.local,78.735000,3490.071000,1848.616000,43670.482000,5338.697000,3042.277000
6,MacBook-Pro-M4-Pro.local,126.000000,2417.791000,1781.984000,48237.013000,4199.780000,4181.194000
7,MacBook-Pro-M4-Pro.local,162.983000,3622.499000,1772.122000,46816.297000,5394.630000,2986.344000
8,MacBook-Pro-M4-Pro.local,159.136000,4036.503000,1760.127000,58690.338000,5796.636000,2584.338000
9,MacBook-Pro-M4-Pro.local,285.555000,2505.907000,1765.583000,53902.134000,4271.495000,4109.479000
10,Nguyens-MacBook-Air-5.local,256.300000,2921.678000,2683.224000,59848.418000,5604.920000,2776.054000
11,Nguyens-MacBook-Air-5.local,289.903000,2724.769000,2683.668000,52735.412000,5408.443000,2972.531000
